policy,risk_tier,total_revenue,avg_reward,n_users
epsilon_greedy,Deep-Subprime,-12270513.60906,-1038.114518532995,985
epsilon_greedy,Near-Prime,4914628.143579998,135.43397661981916,3024
epsilon_greedy,Prime,108116658.56242,2233.4460949103454,4034
epsilon_greedy,Subprime,-13769704.33656,-586.3440783750639,1957
oracle_practical,Deep-Subprime,-11303175.18382,-956.2753962622673,985
oracle_practical,Near-Prime,17210375.64486,474.271815610119,3024
oracle_practical,Prime,149979898.60096,3098.2461287588826,4034
oracle_practical,Subprime,-10885150.292620001,-463.51346843042074,1957
oracle_theoretical,Deep-Subprime,2874754.020979999,243.21100008291023,985
oracle_theoretical,Near-Prime,90770662.42289999,2501.3961205605156,3024
oracle_theoretical,Prime,169288163.55688,3497.111294762849,4034
oracle_theoretical,Subprime,31036491.654079996,1321.6015863600749,1957
static_baseline,Deep-Subprime,-11494553.97292,-972.4664951708968,985
static_baseline,Near-Prime,5095962.812519998,140.43107397817457,3024
static_baseline,Prime,106738160.28807999,2204.9694324921497,4034
static_baseline,Subprime,-13120934.61514,-558.71804697411,1957
thompson_sampling,Deep-Subprime,-11494553.97292,-972.4664951708968,985
thompson_sampling,Near-Prime,7437238.445139999,204.95035397762342,3024
thompson_sampling,Prime,138754675.22577998,2866.358354523632,4034
thompson_sampling,Subprime,-13381669.53074,-569.820709024868,1957
ucb,Deep-Subprime,-11494553.97292,-972.4664951708968,985
ucb,Near-Prime,6550132.192099999,180.50408377700614,3024
ucb,Prime,126560594.63007998,2614.4561772863985,4034
ucb,Subprime,-13332303.25646,-567.7185852691194,1957
