risk_tier,income_bucket,total_reward,avg_reward_per_user,default_rate,avg_limit_increase_pct,n_users
Prime,high,233376001.85955998,186700.801487648,0.0037333333333333333,20.412,1250
Prime,mid,209996785.1322,116664.880629,0.003981481481481482,20.328240740740743,1800
Prime,very_high,98066308.13008,174495.21019587188,0.003855278766310795,20.37514827995255,562
Prime,low,26635869.41946,63118.17397976303,0.004146919431279621,19.97827804107425,422
Near-Prime,high,5609935.685059998,8014.193835799997,0.017857142857142856,19.883333333333333,700
Near-Prime,low,4026559.8149599987,5222.515972710764,0.019347168179853005,19.766536964980546,771
Near-Prime,very_high,1988894.1189399997,14308.590783741005,0.01498800959232614,20.77937649880096,139
Deep-Subprime,very_high,-1586868.02418,-113347.71601285714,0.13690476190476192,19.702380952380953,14
Subprime,very_high,-3624018.9702000003,-78783.02109130436,0.07246376811594203,19.420289855072465,46
Near-Prime,mid,-5272459.275340003,-3728.754791612449,0.01874115983026874,20.13024516737388,1414
Deep-Subprime,high,-13053405.95152,-120864.86992148148,0.1743827160493827,19.691358024691358,108
Subprime,high,-13560012.3665,-50222.268024074074,0.05864197530864197,20.299382716049383,270
Deep-Subprime,mid,-18771779.9202,-79541.44033983051,0.15430790960451976,20.51553672316384,236
Subprime,low,-24475768.13698,-27750.304010181408,0.059807256235827666,20.156840513983372,882
Subprime,mid,-30179162.736240003,-39761.742735494074,0.05665349143610013,19.802371541501977,759
Deep-Subprime,low,-30556773.76624,-48734.88638953748,0.14952153110047847,19.914938862307284,627
