user_id,age_bucket,income_bucket,cibil_score,employment_type,payment_streak,utilization_ratio,spending_category,account_age_months,delinquency_count,transaction_frequency,risk_tier,initial_credit_limit
USER_00001,36-50,low,608,gig,4,0.7418,essentials,24,3,3,Subprime,32355.79
USER_00002,18-25,low,731,gig,22,0.3826,essentials,80,5,13,Near-Prime,74087.3
USER_00003,51+,high,615,salaried,7,0.5026,mixed,40,4,23,Subprime,47887.94
USER_00004,26-35,low,676,salaried,19,0.2156,mixed,11,0,25,Near-Prime,71719.32
USER_00005,36-50,very_high,841,salaried,23,0.4313,lifestyle,19,1,26,Prime,500000.0
USER_00006,51+,very_high,370,self_employed,3,0.2804,lifestyle,6,4,9,Deep-Subprime,34494.77
USER_00007,36-50,mid,678,gig,8,0.6549,mixed,12,0,7,Subprime,48678.76
USER_00008,18-25,mid,629,salaried,4,0.3946,essentials,63,5,17,Subprime,37724.76
USER_00009,36-50,mid,866,salaried,24,0.2796,essentials,115,0,23,Prime,256022.06
USER_00010,51+,mid,710,salaried,15,0.2319,essentials,14,0,7,Near-Prime,120204.09
USER_00011,26-35,mid,824,self_employed,27,0.1144,mixed,89,0,21,Prime,283864.94
USER_00012,36-50,low,469,self_employed,6,0.5399,essentials,45,5,6,Deep-Subprime,24117.92
USER_00013,26-35,mid,685,salaried,26,0.5906,lifestyle,53,0,26,Near-Prime,93541.73
USER_00014,36-50,low,657,gig,11,0.9182,mixed,31,3,5,Subprime,33112.98
USER_00015,51+,low,681,self_employed,11,0.4932,essentials,11,3,24,Near-Prime,65612.09
USER_00016,36-50,very_high,833,salaried,20,0.2315,lifestyle,88,0,34,Prime,500000.0
USER_00017,26-35,mid,683,salaried,16,0.3876,mixed,32,1,22,Near-Prime,96670.65
USER_00018,18-25,high,802,salaried,31,0.3943,mixed,80,0,12,Prime,451098.43
USER_00019,26-35,low,633,gig,7,0.7768,essentials,52,1,12,Subprime,23348.91
USER_00020,26-35,low,678,self_employed,27,0.6532,mixed,42,0,18,Near-Prime,72624.63
USER_00021,51+,low,631,salaried,19,0.7879,essentials,58,1,10,Subprime,47528.91
USER_00022,36-50,high,883,self_employed,24,0.1379,essentials,103,0,40,Prime,423885.88
USER_00023,51+,low,518,salaried,7,0.5395,mixed,27,2,16,Deep-Subprime,14585.46
USER_00024,36-50,mid,607,gig,16,0.445,mixed,72,1,12,Subprime,50610.26
